BinCenter (ps);Histo01;Histo02;Histo03;Histo04
241,5;6;17020;0;0
242,5;9;17025;0;0
243,5;7;16744;0;0
244,5;9;16956;0;0
245,5;5;17274;0;0
246,5;3;16863;0;0
247,5;9;16823;0;0
248,5;6;16731;0;0
249,5;5;16849;0;0
250,5;6;16783;0;0
251,5;9;16550;0;0
252,5;6;16712;0;0
253,5;11;16925;0;0
254,5;6;16809;0;0
255,5;2;16513;0;0
256,5;4;16810;0;0
257,5;5;16865;0;0
258,5;10;16513;0;0
259,5;5;16422;0;0
260,5;6;16706;0;0
261,5;5;16641;0;0
262,5;13;16553;0;0
263,5;8;16708;0;0
264,5;3;16351;0;0
265,5;3;16302;0;0
266,5;3;16640;0;0
267,5;8;16367;0;0
268,5;6;16484;0;0
269,5;10;16288;0;0
270,5;6;16531;0;0
271,5;8;16492;0;0
272,5;2;16385;0;0
273,5;4;16570;0;0
274,5;9;16393;0;0
275,5;9;16423;0;0
276,5;5;16355;0;0
277,5;7;16452;0;0
278,5;11;16337;0;0
279,5;5;16334;0;0
280,5;10;16378;0;0
281,5;4;16217;0;0
282,5;10;16223;0;0
283,5;3;16315;0;0
284,5;6;16145;0;0
285,5;9;16427;0;0
286,5;6;16171;0;0
287,5;7;16060;0;0
288,5;8;16082;0;0
289,5;9;16265;0;0
290,5;9;16158;0;0
291,5;4;16087;0;0
292,5;5;15926;0;0
293,5;5;15965;0;0
294,5;8;16029;0;0
295,5;9;15882;0;0
296,5;11;15785;0;0
297,5;4;16010;0;0
298,5;7;15630;0;0
299,5;4;15963;0;0
300,5;8;15750;0;0
301,5;6;15816;0;0
302,5;9;15848;0;0
303,5;7;16046;0;0
304,5;10;16009;0;0
305,5;10;15850;0;0
306,5;3;15741;0;0
307,5;7;15736;0;0
308,5;7;15712;0;0
309,5;5;15831;0;0
310,5;1;15694;0;0
311,5;8;15664;0;0
312,5;5;15730;0;0
313,5;10;15429;0;0
314,5;5;15527;0;0
315,5;11;15654;0;0
316,5;3;15448;0;0
317,5;5;15750;0;0
318,5;6;15684;0;0
319,5;3;15625;0;0
320,5;4;15528;0;0
321,5;7;15678;0;0
322,5;12;15555;0;0
323,5;8;15477;0;0
324,5;9;15770;0;0
325,5;8;15445;0;0
326,5;7;15577;0;0
327,5;3;15599;0;0
328,5;13;15469;0;0
329,5;6;15589;0;0
330,5;7;15647;0;0
331,5;8;15210;0;0
332,5;5;15511;0;0
333,5;6;15629;0;0
334,5;3;15225;0;0
335,5;7;15126;0;0
336,5;10;15318;0;0
337,5;8;15335;0;0
338,5;7;15404;0;0
339,5;9;15378;0;0
340,5;8;15294;0;0
341,5;9;15364;0;0
342,5;5;15270;0;0
343,5;7;15196;0;0
344,5;8;15289;0;0
345,5;7;15176;0;0
346,5;7;15178;0;0
347,5;2;15100;0;0
348,5;4;15036;0;0
349,5;4;15060;0;0
350,5;5;15138;0;0
351,5;7;14911;0;0
352,5;7;15332;0;0
353,5;12;15242;0;0
354,5;5;14840;0;0
355,5;7;15234;0;0
356,5;8;14949;0;0
357,5;12;14713;0;0
358,5;9;15006;0;0
359,5;9;14868;0;0
360,5;5;14982;0;0
361,5;9;14978;0;0
362,5;6;14970;0;0
363,5;7;14886;0;0
364,5;5;14962;0;0
365,5;7;14889;0;0
366,5;8;14859;0;0
367,5;11;14818;0;0
368,5;7;14924;0;0
369,5;9;14655;0;0
370,5;5;14879;0;0
371,5;3;14870;0;0
372,5;6;14694;0;0
373,5;7;14653;0;0
374,5;5;14856;0;0
375,5;7;14804;0;0
376,5;3;14733;0;0
377,5;10;14649;0;0
