BinCenter (ps);Histo01;Histo02;Histo03;Histo04
0,5;12387;12387;0;0
1,5;11953;12674;0;0
2,5;11515;13036;0;0
3,5;11011;13617;0;0
4,5;10585;13827;0;0
5,5;10151;14256;0;0
6,5;9765;14581;0;0
7,5;9263;14685;0;0
8,5;8834;15233;0;0
9,5;8264;15514;0;0
10,5;7853;15946;0;0
11,5;7621;16144;0;0
12,5;7114;16285;0;0
13,5;6717;16517;0;0
14,5;6271;16791;0;0
15,5;5874;16942;0;0
16,5;5596;17052;0;0
17,5;5256;17561;0;0
18,5;4841;17541;0;0
19,5;4594;17979;0;0
20,5;4278;18119;0;0
21,5;3998;18408;0;0
22,5;3768;18435;0;0
23,5;3402;18712;0;0
24,5;3110;18662;0;0
25,5;2951;18752;0;0
26,5;2719;19086;0;0
27,5;2481;19275;0;0
28,5;2253;19524;0;0
29,5;2040;19609;0;0
30,5;1945;19573;0;0
31,5;1816;19717;0;0
32,5;1657;20028;0;0
33,5;1501;20241;0;0
34,5;1311;20283;0;0
35,5;1261;20092;0;0
36,5;1105;20595;0;0
37,5;1042;20264;0;0
38,5;935;20510;0;0
39,5;799;20632;0;0
40,5;711;20709;0;0
41,5;683;20702;0;0
42,5;638;21084;0;0
43,5;541;20978;0;0
44,5;483;20993;0;0
45,5;455;20984;0;0
46,5;395;21410;0;0
47,5;315;21277;0;0
48,5;340;21393;0;0
49,5;268;21380;0;0
50,5;252;21410;0;0
51,5;242;21376;0;0
52,5;228;21722;0;0
53,5;168;21489;0;0
54,5;164;21757;0;0
55,5;122;21645;0;0
56,5;132;21780;0;0
57,5;103;21635;0;0
58,5;95;21630;0;0
59,5;88;21947;0;0
60,5;87;21765;0;0
61,5;63;21623;0;0
62,5;75;21827;0;0
63,5;55;21868;0;0
64,5;48;21743;0;0
65,5;31;21782;0;0
66,5;34;21891;0;0
67,5;31;22029;0;0
68,5;22;22333;0;0
69,5;29;22011;0;0
70,5;26;22035;0;0
71,5;23;21831;0;0
72,5;18;22167;0;0
73,5;23;22271;0;0
74,5;20;21900;0;0
75,5;13;21751;0;0
76,5;10;21749;0;0
77,5;17;21906;0;0
78,5;8;21876;0;0
79,5;9;22147;0;0
80,5;10;21852;0;0
81,5;7;22072;0;0
82,5;9;22125;0;0
83,5;5;21862;0;0
84,5;8;21911;0;0
85,5;5;21975;0;0
86,5;3;22146;0;0
87,5;10;22017;0;0
88,5;6;22024;0;0
89,5;6;21723;0;0
90,5;8;21819;0;0
91,5;13;21891;0;0
92,5;12;21699;0;0
93,5;8;21760;0;0
94,5;5;21912;0;0
95,5;5;21770;0;0
96,5;5;21737;0;0
97,5;18;21668;0;0
98,5;10;21829;0;0
99,5;4;21887;0;0
100,5;5;21740;0;0
101,5;4;21924;0;0
102,5;12;21680;0;0
103,5;6;21728;0;0
104,5;3;21665;0;0
105,5;7;21854;0;0
106,5;8;21867;0;0
107,5;9;21922;0;0
108,5;2;21701;0;0
109,5;9;21616;0;0
110,5;7;21625;0;0
111,5;10;21476;0;0
112,5;8;21532;0;0
113,5;8;21270;0;0
114,5;13;21515;0;0
115,5;6;21559;0;0
116,5;9;21493;0;0
117,5;7;21222;0;0
